No.,Date,Time,Header,Data,Unit
1,24/10/2024,10:32:54,ST,0,g
2,24/10/2024,10:47:49,ST,-969.7,g
3,24/10/2024,11:02:49,ST,1285.1,g
4,24/10/2024,11:17:49,ST,1297.6,g
5,24/10/2024,11:32:49,ST,1291.8,g
6,24/10/2024,11:47:49,ST,1282.4,g
7,24/10/2024,12:02:49,ST,1279.6,g
8,24/10/2024,12:17:49,ST,1278.5,g
9,24/10/2024,12:32:49,ST,1276.5,g
10,24/10/2024,12:47:49,ST,1274.5,g
11,24/10/2024,13:02:49,ST,1273.7,g
12,24/10/2024,13:17:49,ST,1272.7,g
13,24/10/2024,13:32:49,ST,1271.7,g
14,24/10/2024,13:47:49,ST,1269.6,g
15,24/10/2024,14:02:49,ST,1267.6,g
16,24/10/2024,14:17:49,ST,1266.6,g
17,24/10/2024,14:32:49,ST,1265.6,g
18,24/10/2024,14:47:49,ST,1264.6,g
19,24/10/2024,15:02:49,ST,1263.6,g
20,24/10/2024,15:17:49,ST,1262.6,g
21,24/10/2024,15:32:49,ST,1260.5,g
22,24/10/2024,15:47:49,ST,1259.5,g
23,24/10/2024,16:02:49,ST,1257.4,g
24,24/10/2024,16:17:49,ST,1257.4,g
25,24/10/2024,16:32:49,ST,1256.3,g
26,24/10/2024,16:47:49,ST,1254,g
27,24/10/2024,17:02:49,ST,1253,g
28,24/10/2024,17:17:49,ST,1252,g
29,24/10/2024,17:32:49,ST,1251,g
30,24/10/2024,17:47:49,ST,1250,g
31,24/10/2024,18:02:49,ST,1249,g
32,25/10/2024,13:35:12,ST,1310,g
33,25/10/2024,13:50:12,ST,1308,g
34,25/10/2024,14:05:12,ST,1306,g
35,25/10/2024,14:20:12,ST,1304.9,g
36,25/10/2024,14:35:12,ST,1302.9,g
37,25/10/2024,14:50:12,ST,1301.9,g
38,25/10/2024,15:05:12,ST,1299.9,g
39,25/10/2024,15:20:12,ST,1298.9,g
40,25/10/2024,15:35:12,ST,1298.6,g
41,25/10/2024,15:50:12,ST,1295.5,g
42,25/10/2024,16:05:12,ST,1294.5,g
43,25/10/2024,16:20:12,ST,1292.5,g
44,25/10/2024,16:35:12,ST,1291.4,g
45,25/10/2024,16:50:12,ST,1290.4,g
46,25/10/2024,17:05:12,ST,1288.4,g
47,25/10/2024,17:20:12,ST,1287.4,g
48,25/10/2024,17:35:12,ST,1286.4,g
49,25/10/2024,17:50:12,ST,1284.4,g
50,25/10/2024,18:05:12,ST,1283.4,g
51,25/10/2024,18:20:12,ST,1282.4,g
52,25/10/2024,18:35:12,ST,1280.3,g
53,25/10/2024,18:50:12,ST,1279.3,g
54,25/10/2024,19:05:12,ST,1278.3,g
55,25/10/2024,19:20:12,ST,1277.3,g
56,25/10/2024,19:35:12,ST,1275.3,g
57,25/10/2024,19:50:12,ST,1274.3,g
58,25/10/2024,20:05:12,ST,1273.3,g
59,25/10/2024,20:20:12,ST,1272.3,g
60,25/10/2024,20:35:12,ST,1271.2,g
61,25/10/2024,20:50:12,ST,1270.2,g
62,25/10/2024,21:05:12,ST,1269.2,g
63,25/10/2024,21:20:12,ST,1268.2,g
64,25/10/2024,21:35:12,ST,1266.2,g
65,25/10/2024,21:50:12,ST,1265.2,g
66,25/10/2024,22:05:12,ST,1265.2,g
