No.,Date,Time,Header,Data,Unit
1,24/10/2024,10:31:58,ST,1150.7,g
2,24/10/2024,10:46:51,ST,1156.1,g
3,24/10/2024,11:01:51,ST,1292.4,g
4,24/10/2024,11:16:51,ST,1297.9,g
5,24/10/2024,11:31:51,ST,1298.1,g
6,24/10/2024,11:46:51,ST,1302.1,g
7,24/10/2024,12:01:52,ST,1299.3,g
8,24/10/2024,12:16:52,ST,1298.3,g
9,24/10/2024,12:31:51,ST,1298.3,g
10,24/10/2024,12:46:51,ST,1296.3,g
11,24/10/2024,13:01:51,ST,1294.8,g
12,24/10/2024,13:16:52,ST,1295.7,g
13,24/10/2024,13:31:52,ST,1293.7,g
14,24/10/2024,13:46:52,ST,1292.7,g
15,24/10/2024,14:01:52,ST,1291.7,g
16,24/10/2024,14:16:52,ST,1290.7,g
17,24/10/2024,14:31:52,ST,1288.7,g
18,24/10/2024,14:46:52,ST,1287.7,g
19,24/10/2024,15:01:51,ST,1286.6,g
20,24/10/2024,15:16:52,ST,1285.6,g
21,24/10/2024,15:31:52,ST,1284.6,g
22,24/10/2024,15:46:52,ST,1282.6,g
23,24/10/2024,16:01:52,ST,1279.6,g
24,24/10/2024,16:16:52,ST,1279.5,g
25,24/10/2024,16:31:52,ST,1278.5,g
26,24/10/2024,16:46:52,ST,1278.4,g
27,24/10/2024,17:01:52,ST,1277.4,g
28,24/10/2024,17:16:52,ST,1276.4,g
29,24/10/2024,17:31:52,ST,1274.4,g
30,24/10/2024,17:46:52,ST,1273.4,g
31,24/10/2024,18:01:52,ST,1272.4,g
32,25/10/2024,13:34:14,ST,1316,g
33,25/10/2024,13:49:15,ST,1313.9,g
34,25/10/2024,14:04:15,ST,1312.9,g
35,25/10/2024,14:19:15,ST,1310.9,g
36,25/10/2024,14:34:15,ST,1309.9,g
37,25/10/2024,14:49:15,ST,1307.9,g
38,25/10/2024,15:04:15,ST,1306.8,g
39,25/10/2024,15:19:15,ST,1304.8,g
40,25/10/2024,15:34:15,ST,1307.8,g
41,25/10/2024,15:49:15,ST,1303.6,g
42,25/10/2024,16:04:15,ST,1302.6,g
43,25/10/2024,16:19:15,ST,1301.6,g
44,25/10/2024,16:34:15,ST,1299.5,g
45,25/10/2024,16:49:15,ST,1298.5,g
46,25/10/2024,17:04:15,ST,1296.5,g
47,25/10/2024,17:19:15,ST,1295.5,g
48,25/10/2024,17:34:15,ST,1294.5,g
49,25/10/2024,17:49:15,ST,1292.5,g
50,25/10/2024,18:04:15,ST,1291.5,g
51,25/10/2024,18:19:15,ST,1290.4,g
52,25/10/2024,18:34:15,ST,1288.4,g
53,25/10/2024,18:49:15,ST,1287.4,g
54,25/10/2024,19:04:15,ST,1286.4,g
55,25/10/2024,19:19:15,ST,1284.4,g
