No.,Date,Time,Header,Data,Unit
136,26/10/2024,15:35:03,ST,905.7,g
137,26/10/2024,15:50:03,ST,905.7,g
138,26/10/2024,16:05:03,ST,904.7,g
139,26/10/2024,16:20:03,ST,903.7,g
140,26/10/2024,16:35:03,ST,903.7,g
141,26/10/2024,16:50:03,ST,902.7,g
142,26/10/2024,17:05:03,ST,902.7,g
143,26/10/2024,17:20:03,ST,901.7,g
144,26/10/2024,17:35:03,ST,901.7,g
145,26/10/2024,17:50:03,ST,900.7,g
146,26/10/2024,18:05:03,ST,900.7,g
147,26/10/2024,18:20:03,ST,899.7,g
148,26/10/2024,18:35:03,ST,899.7,g
149,26/10/2024,18:50:03,ST,898.7,g
150,26/10/2024,19:05:03,ST,898.7,g
151,26/10/2024,19:20:03,ST,897.7,g
152,26/10/2024,19:35:03,ST,897.7,g
153,26/10/2024,19:50:03,ST,896.6,g
154,26/10/2024,20:05:03,ST,896.6,g
155,26/10/2024,20:20:03,ST,895.6,g
156,26/10/2024,20:35:03,ST,895.6,g
157,26/10/2024,20:50:03,ST,894.6,g
158,26/10/2024,21:05:03,ST,894.6,g
159,26/10/2024,21:20:03,ST,894.6,g
160,26/10/2024,21:35:03,ST,893.6,g
161,26/10/2024,21:50:03,ST,893.6,g
162,26/10/2024,22:05:03,ST,892.6,g
163,26/10/2024,22:20:03,ST,892.6,g
164,26/10/2024,22:35:03,ST,892.6,g
165,26/10/2024,22:50:03,ST,891.6,g
166,26/10/2024,23:05:03,ST,891.6,g
167,26/10/2024,23:20:03,ST,891.6,g
168,26/10/2024,23:35:03,ST,891.6,g
169,26/10/2024,23:50:03,ST,891.6,g
170,27/10/2024,00:05:03,ST,891.6,g
171,27/10/2024,00:20:03,ST,891.6,g
172,27/10/2024,00:35:03,ST,891.6,g
173,27/10/2024,00:50:03,ST,891.6,g
174,27/10/2024,01:05:03,ST,891.6,g
175,27/10/2024,01:20:03,ST,891.6,g
176,27/10/2024,01:35:03,ST,891.6,g
177,27/10/2024,01:50:03,ST,891.6,g
178,27/10/2024,02:05:03,ST,891.6,g
179,27/10/2024,02:20:03,ST,891.6,g
180,27/10/2024,02:35:03,ST,891.6,g
181,27/10/2024,02:50:03,ST,891.6,g
182,27/10/2024,02:05:03,ST,891.6,g
183,27/10/2024,02:20:03,ST,890.6,g
