"DateTime","Plant_ID","Weight"
2024-10-24 11:03:30,1,13.8
2024-10-24 11:18:30,1,10.3
2024-10-24 11:33:30,1,13.3
2024-10-24 11:48:30,1,12.3
2024-10-24 12:03:30,1,11.3
2024-10-24 12:18:30,1,9.29999999999995
2024-10-24 12:33:30,1,8.29999999999995
2024-10-24 12:48:30,1,6.29999999999995
2024-10-24 13:03:30,1,5.29999999999995
2024-10-24 13:18:30,1,5.29999999999995
2024-10-24 13:33:30,1,3.20000000000005
2024-10-24 13:48:30,1,2.20000000000005
2024-10-24 14:03:30,1,1.20000000000005
2024-10-24 14:18:30,1,0.200000000000045
2024-10-24 14:33:30,1,-0.799999999999955
2024-10-24 14:48:30,1,-1.79999999999995
2024-10-24 15:03:30,1,-2.79999999999995
2024-10-24 15:18:30,1,-3.79999999999995
2024-10-24 15:33:30,1,-4.79999999999995
2024-10-24 15:48:30,1,-5.79999999999995
2024-10-24 16:03:30,1,-5.79999999999995
2024-10-24 16:18:30,1,-6.89999999999998
2024-10-24 16:33:30,1,-7.89999999999998
2024-10-24 16:48:30,1,-8.89999999999998
2024-10-24 17:03:30,1,-9.89999999999998
2024-10-24 17:18:30,1,-9.89999999999998
2024-10-24 17:33:30,1,-10.9
2024-10-24 17:48:30,1,-11.9
2024-10-24 18:03:30,1,-12.9
2024-10-25 13:35:53,1,-12.9
2024-10-25 13:50:53,1,-13.9
2024-10-25 14:05:53,1,-14.9
2024-10-25 14:20:53,1,-15.9
2024-10-25 14:35:53,1,-16.9
2024-10-25 14:50:53,1,-17.9
2024-10-25 15:05:53,1,-18.9
2024-10-25 15:20:53,1,-18.9
2024-10-25 15:35:53,1,-20
2024-10-25 15:50:53,1,-21
2024-10-25 16:05:53,1,-22
2024-10-25 16:20:53,1,-22
2024-10-25 16:35:53,1,-23
2024-10-25 16:50:53,1,-24
2024-10-25 17:05:53,1,-25
2024-10-25 17:20:53,1,-25
2024-10-25 17:35:53,1,-26
2024-10-25 17:50:53,1,-27
2024-10-25 18:05:53,1,-28
2024-10-25 18:20:53,1,-28
2024-10-25 18:35:53,1,-29
2024-10-25 18:50:53,1,-29
2024-10-25 19:05:53,1,-30.1
2024-10-25 19:20:53,1,-31.1
2024-10-25 19:35:53,1,-31.1
2024-10-25 19:50:53,1,-32.1
2024-10-25 20:05:53,1,-32.1
2024-10-25 20:20:53,1,-33.1
2024-10-25 20:35:53,1,-33.1
2024-10-25 20:50:53,1,-34.1
