"Plant_ID","DateTime","Measure","Value","PSY","Teros","Treatment","Scale","Plant_name"
3,2024-10-25 15:30:00,"LWP",-0.96,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 16:00:00,"LWP",-0.83,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 16:15:00,"LWP",-0.81,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 17:00:00,"LWP",-0.93,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 17:15:00,"LWP",-0.86,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 18:15:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 18:30:00,"LWP",-0.98,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 18:45:00,"LWP",-0.92,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 19:00:00,"LWP",-0.93,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 19:15:00,"LWP",-0.9,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 19:30:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 19:45:00,"LWP",-0.9,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 20:00:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 20:15:00,"LWP",-0.88,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 20:30:00,"LWP",-0.98,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 20:45:00,"LWP",-0.94,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 21:00:00,"LWP",-0.89,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 21:15:00,"LWP",-0.97,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 21:30:00,"LWP",-0.97,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 21:45:00,"LWP",-0.84,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 22:00:00,"LWP",-1.01,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 22:30:00,"LWP",-0.86,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 23:00:00,"LWP",-0.9,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 23:15:00,"LWP",-0.8,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 23:30:00,"LWP",-0.74,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-25 23:45:00,"LWP",-0.66,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26,"LWP",-0.6,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 00:15:00,"LWP",-0.55,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 00:30:00,"LWP",-0.51,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 00:45:00,"LWP",-0.48,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 01:00:00,"LWP",-0.48,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 01:15:00,"LWP",-0.38,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 01:30:00,"LWP",-0.39,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 01:45:00,"LWP",-0.34,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 02:00:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 02:15:00,"LWP",-0.32,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 02:30:00,"LWP",-0.29,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 02:45:00,"LWP",-0.3,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 03:00:00,"LWP",-0.29,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 03:15:00,"LWP",-0.23,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 03:30:00,"LWP",-0.23,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 03:45:00,"LWP",-0.24,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 04:00:00,"LWP",-0.22,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 04:15:00,"LWP",-0.2,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 04:30:00,"LWP",-0.2,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 04:45:00,"LWP",-0.19,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 05:00:00,"LWP",-0.16,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 05:15:00,"LWP",-0.15,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 05:30:00,"LWP",-0.15,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 05:45:00,"LWP",-0.15,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 06:00:00,"LWP",-0.14,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 06:15:00,"LWP",-0.11,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 06:30:00,"LWP",-0.13,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 06:45:00,"LWP",-0.2,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 07:15:00,"LWP",-0.35,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 07:30:00,"LWP",-0.39,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 07:45:00,"LWP",-0.5,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 08:00:00,"LWP",-0.6,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 08:15:00,"LWP",-0.6,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 08:30:00,"LWP",-0.69,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 08:45:00,"LWP",-0.71,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 09:00:00,"LWP",-0.65,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 09:15:00,"LWP",-0.73,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 11:30:00,"LWP",-1.18,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 12:15:00,"LWP",-0.84,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 13:00:00,"LWP",-0.97,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 15:00:00,"LWP",-1.05,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 16:30:00,"LWP",-0.99,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 17:00:00,"LWP",-0.91,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 18:00:00,"LWP",-1.02,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 19:00:00,"LWP",-1.08,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 19:15:00,"LWP",-1.08,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 19:30:00,"LWP",-1.11,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 19:45:00,"LWP",-1.02,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 20:00:00,"LWP",-1.12,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 20:30:00,"LWP",-1.05,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 20:45:00,"LWP",-1.11,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 21:00:00,"LWP",-1.08,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 21:15:00,"LWP",-1.07,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 21:30:00,"LWP",-1.04,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 21:45:00,"LWP",-1.03,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 22:45:00,"LWP",-0.99,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 23:00:00,"LWP",-1.04,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 23:15:00,"LWP",-0.96,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 23:30:00,"LWP",-0.93,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-26 23:45:00,"LWP",-0.87,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27,"LWP",-0.82,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
3,2024-10-27 00:15:00,"LWP",-0.76,"PSY1N903","MP04","WD","plant3","Plant 3 | WD"
