No.,Date,Time,Header,Data,Unit
116,26/10/2024,10:31:56,ST,930.2,g
117,26/10/2024,10:46:56,ST,929.2,g
118,26/10/2024,11:01:56,ST,929.2,g
119,26/10/2024,11:16:56,ST,928.2,g
120,26/10/2024,11:31:56,ST,927.1,g
121,26/10/2024,11:46:56,ST,927.1,g
122,26/10/2024,12:01:56,ST,926.1,g
123,26/10/2024,12:16:56,ST,926.1,g
124,26/10/2024,12:31:56,ST,925.1,g
125,26/10/2024,12:46:56,ST,924.1,g
126,26/10/2024,13:01:56,ST,924.1,g
127,26/10/2024,13:16:56,ST,923.1,g
128,26/10/2024,13:31:56,ST,922.1,g
129,26/10/2024,13:46:56,ST,922.1,g
130,26/10/2024,14:01:56,ST,921.1,g
131,26/10/2024,14:16:56,ST,921.1,g
132,26/10/2024,14:31:56,ST,920.1,g
133,26/10/2024,14:46:56,ST,920.1,g
134,26/10/2024,15:01:56,ST,919.1,g
135,26/10/2024,15:17:08,ST,919.1,g
136,26/10/2024,15:32:08,ST,919.1,g
137,26/10/2024,15:47:08,ST,918.1,g
138,26/10/2024,16:02:08,ST,918.1,g
139,26/10/2024,16:17:08,ST,917,g
140,26/10/2024,16:32:08,ST,916,g
141,26/10/2024,16:47:08,ST,916,g
142,26/10/2024,17:02:08,ST,915,g
143,26/10/2024,17:17:08,ST,915,g
144,26/10/2024,17:32:08,ST,914,g
145,26/10/2024,17:47:08,ST,914,g
146,26/10/2024,18:02:08,ST,913,g
147,26/10/2024,18:17:08,ST,913,g
148,26/10/2024,18:32:08,ST,912,g
149,26/10/2024,18:47:08,ST,911,g
150,26/10/2024,19:02:08,ST,911,g
151,26/10/2024,19:17:08,ST,910,g
152,26/10/2024,19:32:08,ST,910,g
153,26/10/2024,19:47:08,ST,909,g
154,26/10/2024,20:02:08,ST,909,g
155,26/10/2024,20:17:08,ST,908,g
156,26/10/2024,20:32:08,ST,908,g
157,26/10/2024,20:47:08,ST,906.9,g
158,26/10/2024,21:02:08,ST,906.9,g
159,26/10/2024,21:17:08,ST,905.9,g
160,26/10/2024,21:32:08,ST,905.9,g
161,26/10/2024,21:47:08,ST,905.9,g
162,26/10/2024,22:02:08,ST,904.9,g
163,26/10/2024,22:17:08,ST,904.9,g
164,26/10/2024,22:32:08,ST,903.9,g
165,26/10/2024,22:47:08,ST,903.9,g
166,26/10/2024,23:02:08,ST,903.9,g
167,26/10/2024,23:17:08,ST,903.9,g
168,26/10/2024,23:32:08,ST,903.9,g
169,26/10/2024,23:47:08,ST,903.9,g
170,27/10/2024,00:02:08,ST,903.9,g
171,27/10/2024,00:17:08,ST,903.9,g
172,27/10/2024,00:32:08,ST,903.9,g
173,27/10/2024,00:47:08,ST,903.9,g
174,27/10/2024,01:02:08,ST,903.9,g
175,27/10/2024,01:17:08,ST,903.9,g
176,27/10/2024,01:32:08,ST,903.9,g
177,27/10/2024,01:47:08,ST,902.9,g
178,27/10/2024,02:02:08,ST,902.9,g
179,27/10/2024,02:17:08,ST,902.9,g
180,27/10/2024,02:32:08,ST,902.9,g
181,27/10/2024,02:47:08,ST,902.9,g
182,27/10/2024,02:02:08,ST,902.9,g
183,27/10/2024,02:17:08,ST,902.9,g
184,27/10/2024,02:32:08,ST,902.9,g
185,27/10/2024,02:47:08,ST,902.9,g
186,27/10/2024,03:02:08,ST,902.9,g
187,27/10/2024,03:17:08,ST,902.9,g
188,27/10/2024,03:32:08,ST,902.9,g
189,27/10/2024,03:47:08,ST,901.9,g
190,27/10/2024,04:02:08,ST,901.9,g
191,27/10/2024,04:17:08,ST,901.9,g
192,27/10/2024,04:32:08,ST,901.9,g
193,27/10/2024,04:47:08,ST,901.9,g
194,27/10/2024,05:02:08,ST,901.9,g
195,27/10/2024,05:17:08,ST,901.9,g
196,27/10/2024,05:32:08,ST,901.9,g
197,27/10/2024,05:47:08,ST,901.9,g
198,27/10/2024,06:02:08,ST,901.9,g
199,27/10/2024,06:17:08,ST,901.9,g
200,27/10/2024,06:32:08,ST,901.9,g
201,27/10/2024,06:47:08,ST,901.9,g
202,27/10/2024,07:02:08,ST,900.9,g
203,27/10/2024,07:17:08,ST,900.9,g
204,27/10/2024,07:32:08,ST,899.9,g
205,27/10/2024,07:47:08,ST,898.9,g
206,27/10/2024,08:02:08,ST,898.9,g
207,27/10/2024,08:17:08,ST,898.9,g
208,27/10/2024,08:32:08,ST,897.8,g
209,27/10/2024,08:47:08,ST,896.8,g
210,27/10/2024,09:02:08,ST,896.8,g
211,27/10/2024,09:17:08,ST,895.8,g
212,27/10/2024,09:32:08,ST,895.8,g
213,27/10/2024,09:47:08,ST,894.8,g
214,27/10/2024,10:02:08,ST,894.8,g
215,27/10/2024,10:17:08,ST,893.8,g
216,27/10/2024,10:32:08,ST,893.8,g
217,27/10/2024,10:47:08,ST,892.8,g
218,27/10/2024,11:02:08,ST,891.8,g
219,27/10/2024,11:17:08,ST,891.8,g
220,27/10/2024,11:32:08,ST,890.8,g
221,27/10/2024,11:47:08,ST,890.8,g
222,27/10/2024,12:02:08,ST,889.8,g
223,27/10/2024,12:17:08,ST,889.8,g
224,27/10/2024,12:32:08,ST,888.8,g
225,27/10/2024,12:47:08,ST,888.8,g
226,27/10/2024,13:02:08,ST,887.7,g
227,27/10/2024,13:17:08,ST,887.7,g
228,27/10/2024,13:32:08,ST,886.7,g
229,27/10/2024,13:47:08,ST,886.7,g
230,27/10/2024,14:02:08,ST,885.7,g
231,27/10/2024,14:17:08,ST,885.7,g
232,27/10/2024,14:32:08,ST,884.7,g
233,27/10/2024,14:47:08,ST,1011,g
234,27/10/2024,15:02:08,ST,1010,g
235,27/10/2024,15:17:08,ST,1009,g
236,27/10/2024,15:32:08,ST,1007.9,g
237,27/10/2024,15:47:08,ST,1006.9,g
238,27/10/2024,16:02:08,ST,1006.9,g
239,27/10/2024,16:17:08,ST,1005.9,g
240,27/10/2024,16:32:08,ST,1004.9,g
241,27/10/2024,16:47:08,ST,1003.9,g
242,27/10/2024,17:02:08,ST,1003.9,g
243,27/10/2024,17:17:08,ST,1002.9,g
244,27/10/2024,17:32:08,ST,1002.9,g
245,27/10/2024,17:47:08,ST,1001.9,g
246,27/10/2024,18:02:08,ST,1000.9,g
247,27/10/2024,18:17:08,ST,1000.9,g
248,27/10/2024,18:32:08,ST,999.9,g
249,27/10/2024,18:47:08,ST,999.9,g
250,27/10/2024,19:02:08,ST,998.9,g
251,27/10/2024,19:17:08,ST,997.8,g
252,27/10/2024,19:32:08,ST,997.8,g
253,27/10/2024,19:47:08,ST,996.8,g
254,27/10/2024,20:02:08,ST,995.8,g
255,27/10/2024,20:17:08,ST,995.8,g
